Year,Number of deaths from earthquakes,Number of people injured from earthquakes,Number of total people affected by earthquakes,Total economic damages from earthquakes,Death rates from earthquakes,Injury rates from earthquakes,"Total number of people affected by earthquakes per 100,000"
1960,19.2,227.2,5227.2,40,0.003695553,0.043658641,1.004456194
1970,7.3,20,20,0,0.001222598,0.00360237,0.00360237
1980,42.1,393.6,2001473.6,7650,0.005082984,0.047219255,239.0028704
1990,1139.1,3330.2,71930.2,37900,0.123333417,0.358052368,7.10664083
2000,3770.5,18034.7,713314.6,464580,0.342601416,1.670639379,65.96822053
2010,22.1,114.8,64592.8,19500,0.00172762,0.008822163,5.149857305
