Year,Number of deaths from drought,Number of people affected from drought,Total economic damages from drought,"Number of people affected by drought per 100,000"
1960,125000,10066600,10000,2017.137998
1970,150000,21000000,30000,3588.239503
1980,55725,40000000,130822.44,5025.630373
1990,150000,117500,54240,12.66977455
2000,126100,35000000,149872.2,3217.170176
2010,121365,33820000,410000,2579.413935
